channel-fluid;V;u_theo;u_real;u_error;theta_code;theta_manual;theta_error
straight-water;0.000025;0.140808861;0.14028772;0.003701053;96.595;95.11;0.0156135
straight-water;0.00011;0.618404647;0.61984658;0.002331698;104.11;104.595;0.004636933
straight-water;0.00025;1.387622383;1.40673705;0.013775122;109.125;109.78;0.005966478
straight-water;0.00067;3.761362624;3.74427435;0.004543107;111.03;112.05;0.009103079
straight-water;0.0011;6.223501123;6.22191937;0.000254158;114.205;114.61;0.003533723
straight-water;0.0018;10.11915212;10.0645837;0.005392588;118.115;117.94;0.001483805
straight-water;0.0025;14.10307054;14.1812973;0.005546789;117.55;119.76;0.018453574
straight-water;0.0027;15.14255422;14.8260113;0.020904196;122.295;122.28;0.000122669
straight-water;0.0031;15.95979209;15.9399306;0.00124447;123.43;123.32;0.000891988
straight-water;0.0036;19.40503785;19.3646718;0.002080184;124.64;124.23;0.00330033
straight-water;0.004;20.31561932;20.2540709;0.003029611;125.33;125.02;0.002479603
straight-water;0.0045;25.08118865;25.2456797;0.006558343;126.34;126.08;0.002062183
straight-glycerin;0.000025;0.12029438;0.120192523;0.000846731;86.6;85.66;0.010973617
straight-glycerin;0.00011;0.531365755;0.535665605;0.008092072;88.08;87.9;0.002047782
straight-glycerin;0.00025;1.27430326;1.236991285;0.029280295;89.69;89.25;0.004929972
straight-glycerin;0.00067;3.27351112;3.20793776;0.020031507;90.13;90.37;0.002655749
straight-glycerin;0.0011;5.260738855;5.25438508;0.001207772;95.62;94.18;0.01528987
straight-glycerin;0.0018;8.516145095;8.5202364;0.000480417;98.89;97.18;0.017596213
straight-glycerin;0.0025;11.85354926;11.835246;0.001544116;99.63;98.67;0.009729401
straight-glycerin;0.0027;12.79701986;12.5684384;0.017862085;101.89;101.51;0.003743474
straight-glycerin;0.0031;14.6458528;14.6524812;0.000452579;102.99;103.94;0.009139888
straight-glycerin;0.0036;17.05684711;17.0122554;0.0026143;105.12;105.51;0.003696332
straight-glycerin;0.004;18.98032076;18.93611695;0.002328929;106.37;106.03;0.00320664
var1-water;0.000025;0.10244266;0.10060664;0.017922416;90.875;90.125;0.008321775
var1-water;0.00011;0.452557193;0.44584229;0.014837689;94.285;93.805;0.005116998
var1-water;0.00025;1.037976573;1.0102791;0.026684102;95.725;95.235;0.005145167
var1-water;0.00067;2.777578641;2.72703545;0.018196853;101.51;100.365;0.011408359
var1-water;0.0011;4.388743239;4.44674096;0.013215109;111.755;112.26;0.004498486
var1-water;0.0018;7.287061012;7.339996375;0.007264295;114.66;115.23;0.004946628
var1-water;0.0025;10.07312098;10.07566287;0.000252344;118.05;116.565;0.012739673
var2-water;0.000025;0.119866448;0.119696049;0.001421574;89.985;90.385;0.004425513
var2-water;0.00011;0.527772676;0.531908806;0.007836954;92.935;92.715;0.002372863
var2-water;0.00025;1.193332422;1.194121085;0.000660891;94.585;94.415;0.001800561
var2-water;0.00067;3.232843439;3.23299776;4.77E-05;95.38;95.805;0.004436094
var2-water;0.0011;5.307490192;5.376552745;0.013012281;97.92;97.665;0.002610966
var2-water;0.0018;8.539287351;8.64980273;0.012941991;102.285;101.39;0.008827301
var2-water;0.0025;11.96695519;12.28421255;0.026511118;104.28;102.77;0.014693004
var3-water;0.000025;0.10729615;0.110667327;0.031419366;89.46;89.44;0.000223614
var3-water;0.00011;0.484057072;0.50453624;0.042307342;90.76;91.02;0.002856515
var3-water;0.00025;1.03344777;1.046673272;0.012797456;92.66;93.19;0.005687306
var3-water;0.00067;2.92135847;3.003084368;0.027975306;96.05;96.085;0.000364261
var3-water;0.0011;4.768314472;4.845362395;0.016158314;103.37;103.44;0.000676721
var3-water;0.0018;7.648151714;7.756047555;0.01410744;103.97;103.52;0.004346986
var3-water;0.0025;10.67866394;10.86673272;0.01761164;106.5;106.76;0.002435369
